sub,run_is,r2_cv,r2_cv_std,r2_train,coefficient,coefficient_std,r2_scores,correlation,n_trials,null_r2
sub-17,run-07,-0.17854343387773525,0.7508719308289113,0.21898807873800696,0.537793669760289,0.10289089945481565,"[-1.5995992467920277, 0.5260541908195978, -0.21905811675832165, 0.1132237907967516, 0.28666221254532376]",0.46796162100967975,40,-0.16887795667652364
sub-17,run-08,-0.3120038099856615,0.7296294081085183,0.28077133666229137,0.7252886615801188,0.19431092538421454,"[-0.19759126714827357, 0.21950454484128057, 0.3503127028275431, -0.23407119173575186, -1.6981738387131058]",0.5298786055902722,40,-0.5410624462727505
sub-17,run-09,-0.8200073293519015,1.4514131033332829,0.14010747386275724,0.41133921129258544,0.09179012718398336,"[-0.11734532014845844, 0.2111374137742409, 0.10018194263641178, -0.6292091006811942, -3.664801582340507]",0.3743093291153148,40,-1.2320954579773367
sub-17,run-10,0.35538081953392353,0.16068814267181705,0.50192641152102,0.4260215695837554,0.005298718954024582,"[0.3938157309336334, 0.34339177373880636, 0.405630958937349, 0.5640309964169815, 0.07003463764284734]",0.7084676502995886,40,-0.8055241175714496
sub-18,run-01,0.15948351049550472,0.47952929323314153,0.4962011281416585,0.4845745190950422,0.07061967134496011,"[0.6748565245531282, -0.5775470833577392, 0.40974409048216776, 0.5179278029608461, -0.22756378216087914]",0.7044154513791266,30,-0.1506421706860626
sub-18,run-02,-0.4103447210152308,0.9397793153932091,0.13843658986071772,0.27942557587816796,0.11036019407236142,"[-2.2594502317559813, 0.1866895263319892, -0.17204445600157703, -0.09004953636992163, 0.2831310927193368]",0.372070678582333,29,-0.3903507467178325
sub-18,run-03,-0.23439689850676215,0.7738052989340706,0.5827106332098042,0.5199700207842866,0.1462265536329506,"[0.5078371573646796, 0.0966011253515916, -1.6493550597653082, 0.30586238092827356, -0.43293009641304736]",0.7633548540553106,30,-0.4336896109762426
sub-18,run-04,-0.1316712914343245,0.4448854396057886,0.2347112549244087,0.3866688120807088,0.030913776866043397,"[-0.13680825709960498, -0.9105489913026894, 0.2144144688661208, 0.376492223763386, -0.2019059013988349]",0.4844700763973032,30,-0.5467932352674454
sub-18,run-05,-0.07728780351606365,0.7023599484468022,0.2853138867451487,0.3176083279690487,0.053237649003890185,"[0.1732392522728432, 0.4874854210407439, 0.6812365571369435, -1.232299077451175, -0.49610117057967384]",0.5341478135733108,30,-0.06379337023563827
sub-18,run-06,0.2155097727072323,0.3060701777760527,0.3975698655400982,0.5155795390241111,0.057528378173764244,"[-0.0631548104844395, 0.20737848353660737, 0.5459041206216968, -0.18083176051844263, 0.5682528303807393]",0.6305314151888849,30,-0.6731982180258569
